CID	X	Y	CellType	CellTypeName	Region	Dist2Interface
HumanMelanomaPatient1__cell_144532	5120.34130050248	-5689.17537860764	Fibroblast	Fibroblasts	Outer margin	-90.8551835592392
HumanMelanomaPatient1__cell_144533	5229.41624078868	-5685.65167983144	Fibroblast	Fibroblasts	Outer margin	-57.2160874392669
HumanMelanomaPatient1__cell_144543	5116.24926962125	-5698.44226999699	Fibroblast	Fibroblasts	Outer margin	-84.0946089472849
HumanMelanomaPatient1__cell_144546	5219.51015707106	-5694.66885568291	Fibroblast	Fibroblasts	Outer margin	-68.8231689958666
HumanMelanomaPatient1__cell_144550	5133.92877321192	-5700.36187604816	Fibroblast	Fibroblasts	Outer margin	-101.425595095261
HumanMelanomaPatient1__cell_144557	5064.60456680778	-5701.60233635777	Fibroblast	Fibroblasts	Outer margin	-35.1772017333975
HumanMelanomaPatient1__cell_144558	5101.76697716025	-5706.48633889829	Fibroblast	Fibroblasts	Outer margin	-69.4043506485058
HumanMelanomaPatient1__cell_144565	5121.66164965391	-5708.6224415128	Fibroblast	Fibroblasts	Outer margin	-89.4004835064249
HumanMelanomaPatient1__cell_144579	5139.33886916386	-5719.59704404212	Fibroblast	Fibroblasts	Outer margin	-108.281124304445
HumanMelanomaPatient1__cell_144585	5118.98664305253	-5719.50847288982	Fibroblast	Fibroblasts	Outer margin	-88.2477728387831
HumanMelanomaPatient1__cell_144586	5076.04490369014	-5718.95348551921	Fibroblast	Fibroblasts	Outer margin	-51.0621195322355
HumanMelanomaPatient1__cell_144588	5323.59035763344	-5727.1120758734	Fibroblast	Fibroblasts	Inner margin	43.9152772530655
HumanMelanomaPatient1__cell_144593	5147.85579732396	-5731.39108100909	Fibroblast	Fibroblasts	Outer margin	-118.915216132524
HumanMelanomaPatient1__cell_144595	5095.83071758157	-5733.30304573763	Fibroblast	Fibroblasts	Outer margin	-70.6785657823364
HumanMelanomaPatient1__cell_144600	5280.26148079152	-5734.26469831774	Fibroblast	Fibroblasts	Outer margin	-43.9152772530655
HumanMelanomaPatient1__cell_144604	5127.25224322419	-5742.17425131033	Fibroblast	Fibroblasts	Outer margin	-102.465428036291
HumanMelanomaPatient1__cell_144605	5102.75146022887	-5738.64360936751	Fibroblast	Fibroblasts	Outer margin	-78.7373427959665
HumanMelanomaPatient1__cell_144613	5456.66526130703	-5742.73722954057	Fibroblast	Fibroblasts	Inner margin	145.338864251606
HumanMelanomaPatient1__cell_144614	5380.33127285145	-5740.26596776311	Fibroblast	Fibroblasts	Inner margin	79.4293769856628
HumanMelanomaPatient1__cell_144615	5280.36833054968	-5745.38546654903	Fibroblast	Fibroblasts	Outer margin	-53.8221328858141
HumanMelanomaPatient1__cell_144616	5380.03650007964	-5744.14002524271	Fibroblast	Fibroblasts	Inner margin	76.8098995126691
HumanMelanomaPatient1__cell_144618	5091.92202502864	-5749.20133586547	Fibroblast	Fibroblasts	Outer margin	-66.6541185497415
HumanMelanomaPatient1__cell_144624	5166.42345024114	-5750.97498681166	Fibroblast	Fibroblasts	Outer margin	-140.770363838675
HumanMelanomaPatient1__cell_144628	5134.17669813716	-5754.26899280139	Fibroblast	Fibroblasts	Outer margin	-108.78486765344
HumanMelanomaPatient1__cell_144629	5288.05779449947	-5759.51554437084	Fibroblast	Fibroblasts	Outer margin	-64.6255110664465
HumanMelanomaPatient1__cell_144631	5085.11084508609	-5755.19435946686	Fibroblast	Fibroblasts	Outer margin	-60.517138956177
HumanMelanomaPatient1__cell_144636	5104.17562478545	-5758.99474785287	Fibroblast	Fibroblasts	Outer margin	-78.983157028458
HumanMelanomaPatient1__cell_144639	5090.88562872247	-5762.25539841201	Fibroblast	Fibroblasts	Outer margin	-69.3214711433
HumanMelanomaPatient1__cell_144642	5207.64747747509	-5764.9782942119	Fibroblast	Fibroblasts	Outer margin	-118.077901322637
HumanMelanomaPatient1__cell_144646	5149.3519531909	-5770.8256566261	Fibroblast	Fibroblasts	Outer margin	-125.184711468709
HumanMelanomaPatient1__cell_144647	5211.63915163409	-5771.90799629085	Fibroblast	Fibroblasts	Outer margin	-119.91302097215
HumanMelanomaPatient1__cell_144649	5089.70727753956	-5774.58506413466	Fibroblast	Fibroblasts	Outer margin	-70.3023724720316
HumanMelanomaPatient1__cell_144655	5475.42484725806	-5778.25595022421	Fibroblast	Fibroblasts	Inner margin	145.887262181495
HumanMelanomaPatient1__cell_144657	5176.91584713236	-5782.79669333971	Fibroblast	Fibroblasts	Outer margin	-150.245658810459
HumanMelanomaPatient1__cell_144658	5157.80304633422	-5787.90830451253	Fibroblast	Fibroblasts	Outer margin	-139.606959692122
HumanMelanomaPatient1__cell_144659	5379.02298567443	-5783.23672224169	Fibroblast	Fibroblasts	Inner margin	60.762595621538
HumanMelanomaPatient1__cell_144660	5486.3447856872	-5779.9702345281	Fibroblast	Fibroblasts	Inner margin	151.374941869647
HumanMelanomaPatient1__cell_144662	5318.67752049302	-5790.34431386655	Fibroblast	Fibroblasts	Outer margin	-50.9114924005584
HumanMelanomaPatient1__cell_144663	5265.59616525266	-5788.62163862276	Fibroblast	Fibroblasts	Outer margin	-93.5866642945335
HumanMelanomaPatient1__cell_144671	5136.22563885133	-5792.91004567189	Fibroblast	Fibroblasts	Outer margin	-119.38300998402
HumanMelanomaPatient1__cell_144674	5146.43707135051	-5789.48218175403	Fibroblast	Fibroblasts	Outer margin	-128.676004371103
HumanMelanomaPatient1__cell_144675	5490.93857226174	-5793.07411200965	Fibroblast	Fibroblasts	Inner margin	149.280068320851
HumanMelanomaPatient1__cell_144676	5361.85745721471	-5793.73351039585	Fibroblast	Fibroblasts	Inner margin	43.3127416403461
HumanMelanomaPatient1__cell_144678	5281.90688198518	-5797.59369795797	Fibroblast	Fibroblasts	Outer margin	-81.8851097196025
HumanMelanomaPatient1__cell_144680	5407.31416978505	-5797.58760576517	Fibroblast	Fibroblasts	Inner margin	78.0046866117439
HumanMelanomaPatient1__cell_144681	5173.89540159146	-5807.58877599898	Fibroblast	Fibroblasts	Outer margin	-159.503404354929
HumanMelanomaPatient1__cell_144683	5422.55374581104	-5798.66093522688	Fibroblast	Fibroblasts	Inner margin	91.4303074225732
HumanMelanomaPatient1__cell_144686	5256.94147486312	-5806.34619119778	Fibroblast	Fibroblasts	Outer margin	-104.508483053583
HumanMelanomaPatient1__cell_144689	5495.00448989798	-5804.67429812315	Fibroblast	Fibroblasts	Inner margin	140.363428141987
HumanMelanomaPatient1__cell_144690	5388.8174193816	-5807.90164908691	Fibroblast	Fibroblasts	Inner margin	62.7059474583676
HumanMelanomaPatient1__cell_144691	5308.41864906618	-5810.288186671	Fibroblast	Fibroblasts	Outer margin	-60.3295913181877
HumanMelanomaPatient1__cell_144695	5133.02506240428	-5814.1103468434	Fibroblast	Fibroblasts	Outer margin	-123.605481690392
HumanMelanomaPatient1__cell_144699	5083.35782544807	-5817.31005031087	Fibroblast	Fibroblasts	Outer margin	-82.2876182525536
HumanMelanomaPatient1__cell_144704	5152.97516146613	-5823.02402318624	Fibroblast	Fibroblasts	Outer margin	-145.374540377082
